الكتابة الخاطئة,الكتابة الصحيحة,التشكيل,السبب
انشاء الله,إن شاء الله,,إن شاء الله تعني إذا أراد الله بينما انشاء تعني بناء
طبعن,طبعا,طَبْعًا,النون الزائدة في نهاية الكلمة لفظاً تسمى تنوين
شكرن,شكرا,شكرًا,النون الزائدة في نهاية الكلمة لفظاً تسمى تنوين
والهي,والله,,إستخدام لفظ الجلالة في القسم يكتب والله
لاكن,لكن,,لَكِنْ من أخوات إنَّ وتكتب لكن بدون التشكيل
كالمات, كلمات,,جمع كلمة كلمة هو كلمات وليس كالمات
لي ان,لان,لِأَنّ,أصلها الأداة (أَنَّ) وجذعها (أن) وتحليلها (ل + أن) لذلك لا يصح كتابتها لي ان
دعي,دعا,,فعل الدعاء الماضي يُكتب دعا وليس دعي
قرأتو,قرأته,,لا يصح كتابة حرف الـ واو عِوَضًا عن ضمير الهاء المتصل
قولتلو,قلت له,,لا يصح كتابة حرف الـ واو عِوَضًا عن ضمير الهاء المتصل
فعلن,فعلا,فِعلًا,النون الزائدة في نهاية الكلمة لفظاً تسمى تنوين
دحك,ضحك,,في المعجم، فعل الضحك يعني انفرجَتْ شَفَتَاهُ وبَدَتْ أَسنانُهُ من السُّرورِ ولا يجوز كتابة الكلمة دحك
دحكت,ضحكت,,في المعجم، فعل الضحك يعني انفرجَتْ شَفَتَاهُ وبَدَتْ أَسنانُهُ من السُّرورِ ولا يجوز كتابة الكلمة دحكت
ليوم,اليوم,,أل التعريف هي اللام المسبوقة بهمزة وصل ويدخلان على الأسماء لتحويلها من أسماء نكرة إلى أسماء معرفة
دخلت رمضان,دخلة رمضان,,كتابة كلمة دخلت بغرض قول بداية مثل جملة دخلت رمضان خاطئ ويجب ان تكتب دخلة فتصبح الجملة دخلة رمضان
صالاة,صالات,,جمع كلمة صالة هو صالات بمعني حجرات واسعة أو قاعات استقبال
صالاة,صلاة,,صلاة بمعنى الدعاء أو العبادة تكتب صلاة وجمعها صلوات
ازا,اذا,,حرف الجواب والجزاء أو حرف المفاجأة أو الظرف اذا يكتب بحرف الذال ذ وليس حرف الزاي ز
لقدر,لا قدر,,تكتب لا قدر الله ولا تكتب لقدر
تلع,طلع,,تكتب طلع بحرف الطاء ط ولا تكتب بحرف التاء ت
مل اخر,من الاخر,,مِنْ حرف جر يفيد ابتداء الغاية الزمانية أو المكانية، والتبعيض، والتفسير، والتعليل وغير ذلك ولا وجود لكلمة مل
دلوؤتي,دلوقتي,,حرف القاف ق قد ينطق كالهمزة في بعض اللهجات، ولكن لا يصح كتابته كالهمزة
فازورة,فزورة,,كتابة حروف المد في غير موضعها غير صحيح والأصح نطقها بدون كتابتها في غير موضعها، أو إستخدام التشكيل
حتة,حتى,حتّى,في أوجه حتّى الثلاثة: حرف عطف، ابتدائية، أو حرف جر تكتب بإستخدام الألف اللينة المقصورة
الدونيا,الدنيا,,كتابة حروف المد في غير موضعها غير صحيح والأصح نطقها بدون كتابتها في غير موضعها، أو إستخدام التشكيل
كورة,كرة,,كتابة حروف المد في غير موضعها غير صحيح والأصح نطقها بدون كتابتها في غير موضعها، أو إستخدام التشكيل
أصابكم الله,أثابكم الله,,الثواب جزاء يكون فى الخير أخص. وأثابكم بمعنى كافأكم
موأسره,مؤسرة,مُؤَثِّرة,من التأثر
